Wahlkreisnummer,Wahlkreisname,Stadtteilnummer,Stadtteilname,Wahlbezirksnummer,Wahlbezirksname,Wahlberechtigte insgesamt,Wahlberechtigte mit Wahlschein,Wähler/-innen,Gültige Erststimmen,"Wellenreuther, Ingo (CDU)","Marvi, Parsa (SPD)","Kotting-Uhl, Sylvia (GRÜNE)","Theurer, Michael (FDP)","Bernhard, Marc (AfD)","Brandt, Michel (DIE LINKE)","Margic, Robin (Tierschutzpartei)","Dachner, Jonas (MLPD)","Kasper, Uwe (DIE RECHTE)","Glause, Stefan (Die PARTEI)","Mayer, Bruno (Kennwort: Bürgerkandidat)",Gültige Zweitstimmen,CDU,SPD,GRÜNE,FDP,AfD,DIE LINKE,PIRATEN,NPD,Tierschutzpartei,FREIE WÄHLER,ÖDP,MLPD,Tierschutzallianz,BGE,DiB,DKP,DM,DIE RECHTE,MENSCHLICHE WELT,Die PARTEI,V-Partei³
271,Karlsruhe-Stadt,1,Innenstadt-Ost,001-01,Universität/Marktplatz,1476,491,609,602,120,149,100,63,53,81,5,1,0,26,4,604,101,94,109,88,58,101,5,1,10,0,3,2,2,3,1,0,1,0,1,22,2
271,Karlsruhe-Stadt,1,Innenstadt-Ost,001-02,Lidellplatz,1164,376,510,507,110,105,94,41,50,69,8,0,1,22,7,500,107,67,108,54,50,78,2,0,4,1,3,0,0,3,3,0,3,1,0,15,1
271,Karlsruhe-Stadt,1,Innenstadt-Ost,001-03,Östliche Altstadt,1405,454,537,524,133,119,72,46,59,65,6,3,0,17,4,525,116,97,77,66,61,73,2,1,2,0,2,2,6,1,2,0,0,0,0,17,0
271,Karlsruhe-Stadt,2,Innenstadt-West,002-01,St. Stephans-Kirche,1006,351,457,453,130,81,94,46,35,43,7,0,0,14,3,454,118,43,97,68,31,65,2,0,6,2,2,0,0,1,4,0,0,0,1,12,2
271,Karlsruhe-Stadt,2,Innenstadt-West,002-02,Münze,1246,424,554,548,144,122,104,67,39,50,14,1,0,7,0,553,150,76,101,80,43,69,3,1,9,1,0,1,0,0,4,0,0,0,0,13,2
271,Karlsruhe-Stadt,2,Innenstadt-West,002-03,Südwestl. Päd. Hochsch.,1257,509,505,500,110,138,139,35,15,37,8,1,0,16,1,502,85,78,141,81,17,55,9,0,4,1,3,0,0,1,6,0,0,0,1,20,0
271,Karlsruhe-Stadt,2,Innenstadt-West,002-04,Zw. Belfort- u. Kriegsstr.,1558,530,749,745,176,171,160,58,50,85,8,2,0,31,4,745,164,119,145,98,45,132,8,0,6,4,2,0,1,2,2,0,0,0,0,17,0
271,Karlsruhe-Stadt,2,Innenstadt-West,002-05,Leopoldplatz,1496,492,670,666,151,160,134,75,34,83,9,2,0,17,1,668,144,91,154,91,36,102,12,2,4,1,10,1,0,4,2,0,1,0,1,11,1
271,Karlsruhe-Stadt,3,Südstadt,003-01,Südl. Staatstheater,1225,349,593,585,100,162,119,34,40,94,12,2,0,18,4,587,86,102,142,62,44,112,8,0,10,0,0,0,2,2,1,0,0,0,0,12,4
271,Karlsruhe-Stadt,3,Südstadt,003-02,Nördl. Werderplatz,1184,382,565,563,96,148,118,33,29,97,9,3,0,25,5,563,109,90,126,54,29,111,5,1,4,0,5,1,1,3,1,0,1,0,0,22,0
